date,forecast
2025-10-01,239.29684336492272
2025-10-02,272.09695894710586
2025-10-03,280.8360480148167
2025-10-04,229.7474262012176
2025-10-05,274.20638093568186
2025-10-06,294.9119094594421
2025-10-07,262.9289739213108
2025-10-08,269.117208747022
2025-10-09,268.86519345633826
2025-10-10,264.37304138392517
2025-10-11,273.3664295781074
2025-10-12,273.422060472779
2025-10-13,268.1350218279013
2025-10-14,269.4876007304132
2025-10-15,269.5089116709665
2025-10-16,269.47231265868584
2025-10-17,270.84577895977407
2025-10-18,270.2766781823355
2025-10-19,269.49205749970446
2025-10-20,269.8261297189477
2025-10-21,269.8826945816007
2025-10-22,269.95773415009046
2025-10-23,270.1040187068536
2025-10-24,269.9279262961284
2025-10-25,269.83707681047986
2025-10-26,269.91936924031165
2025-10-27,269.9375072302166
2025-10-28,269.9514716908364
2025-10-29,269.9550551754817
2025-10-30,269.91845585037595
